"","hgnc_symbol","description"
"33","FCER1G","Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]"
"34","FCGR2B","Fc gamma receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]"
"35","FCRL3","Fc receptor like 3 [Source:HGNC Symbol;Acc:HGNC:18506]"
"36","FECH","ferrochelatase [Source:HGNC Symbol;Acc:HGNC:3647]"
"37","FGFBP2","fibroblast growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:29451]"
"38","FOLR3","folate receptor gamma [Source:HGNC Symbol;Acc:HGNC:3795]"
"39","FOXO3","forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]"
"40","GDE1","glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]"
"41","GNLY","granulysin [Source:HGNC Symbol;Acc:HGNC:4414]"
"42","GSPT1","G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]"
"43","GSTM3","glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]"
"44","GYPB","glycophorin B (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4703]"
"45","GZMB","granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]"
"46","GZMH","granzyme H [Source:HGNC Symbol;Acc:HGNC:4710]"
"47","HEMGN","hemogen [Source:HGNC Symbol;Acc:HGNC:17509]"
"48","HIP1","huntingtin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:4913]"
"49","HLA-DMA","major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]"
"50","HLA-DOB","major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]"
"51","HLA-DPB1","major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]"
"52","HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]"
"53","HLA-DQB1","major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]"
"54","HLA-DRB1","major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]"
"55","HLA-DRB5","major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]"
"56","HSPA6","heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]"
"57","IGFBP7","insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]"
"58","KREMEN1","kringle containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:17550]"
"59","KRT1","keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]"
"60","KRT23","keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]"
"61","LGALS3","galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]"
"62","LRRC37A","leucine rich repeat containing 37A [Source:HGNC Symbol;Acc:HGNC:29069]"
"63","LRRN3","leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]"
"64","MAN1C1","mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080]"
"65","MAP3K7CL","MAP3K7 C-terminal like [Source:HGNC Symbol;Acc:HGNC:16457]"
"66","MCTP1","multiple C2 and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26183]"
"67","MGLL","monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]"
"68","MS4A6A","membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]"
"69","MXRA7","matrix remodeling associated 7 [Source:HGNC Symbol;Acc:HGNC:7541]"
"70","NAAA","N-acylethanolamine acid amidase [Source:HGNC Symbol;Acc:HGNC:736]"
"71","NAIP","NLR family apoptosis inhibitory protein [Source:HGNC Symbol;Acc:HGNC:7634]"
"72","NAPSB","napsin B aspartic peptidase (pseudogene) [Source:HGNC Symbol;Acc:HGNC:13396]"
"73","NKG7","natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]"
"74","NOG","noggin [Source:HGNC Symbol;Acc:HGNC:7866]"
"75","NPL","N-acetylneuraminate pyruvate lyase [Source:HGNC Symbol;Acc:HGNC:16781]"
"76","NPRL3","NPR3 like, GATOR1 complex subunit [Source:HGNC Symbol;Acc:HGNC:14124]"
"77","NQO2","N-ribosyldihydronicotinamide:quinone dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:7856]"
"78","NSG1","neuronal vesicle trafficking associated 1 [Source:HGNC Symbol;Acc:HGNC:18790]"
"79","NT5C3A","5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:HGNC:17820]"
"80","ORM1","orosomucoid 1 [Source:HGNC Symbol;Acc:HGNC:8498]"
"81","OSBPL10","oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]"
"82","PAK2","p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]"
"83","PAM","peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]"
"84","PARVB","parvin beta [Source:HGNC Symbol;Acc:HGNC:14653]"
"85","PF4V1","platelet factor 4 variant 1 [Source:HGNC Symbol;Acc:HGNC:8862]"
"86","PI3","peptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:8947]"
"87","PITHD1","PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]"
"88","POMZP3","POM121 and ZP3 fusion [Source:HGNC Symbol;Acc:HGNC:9203]"
"89","PPDPF","pancreatic progenitor cell differentiation and proliferation factor [Source:HGNC Symbol;Acc:HGNC:16142]"
"90","PPP2R2B","protein phosphatase 2 regulatory subunit Bbeta [Source:HGNC Symbol;Acc:HGNC:9305]"
"91","PRF1","perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]"
"92","PTPRN2","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]"
"93","RIOK3","RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]"
"94","RPS26","ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]"
"95","S1PR5","sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:HGNC:14299]"
"96","SIDT2","SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272]"
"97","SKAP2","src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]"
"98","SLC25A37","solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]"
"99","SNCA","synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]"
"100","TCL1A","TCL1 family AKT coactivator A [Source:HGNC Symbol;Acc:HGNC:11648]"
"101","TLR4","toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]"
"102","TMEM176B","transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]"
"103","TMTC1","transmembrane O-mannosyltransferase targeting cadherins 1 [Source:HGNC Symbol;Acc:HGNC:24099]"
"104","TNFRSF13C","TNF receptor superfamily member 13C [Source:HGNC Symbol;Acc:HGNC:17755]"
"105","TPGS2","tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]"
"106","TPM1","tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]"
"107","TREM1","triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]"
"108","TUBB2A","tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]"
"109","UBE2H","ubiquitin conjugating enzyme E2 H [Source:HGNC Symbol;Acc:HGNC:12484]"
"110","VASH1","vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]"
"111","VCAN","versican [Source:HGNC Symbol;Acc:HGNC:2464]"
"112","WNK1","WNK lysine deficient protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:14540]"
